sexo,edad,escol,Tam_loc,wvs_agg_acceptance_of_state_surveillance,wvs_agg_authoritarian_governance_tolerance,wvs_agg_autocracy_support,wvs_agg_basic_needs_deprivation,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_crime_victimization,wvs_agg_democratic_system_evaluation,wvs_agg_democratic_values_importance,wvs_agg_economic_ideology,wvs_agg_electoral_integrity,wvs_agg_existential_threat_worry,wvs_agg_familial_duty_obligations,wvs_agg_female_income_threat_to_marriage,wvs_agg_freedom_security_tradeoff_perception,wvs_agg_gender_role_traditionalism,wvs_agg_immigrant_origin_status,wvs_agg_importance_of_life_domains,wvs_agg_institutional_threat_perception,wvs_agg_international_organization_knowledge,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_multilevel_place_attachment,wvs_agg_neighborhood_disorder_and_crime,wvs_agg_offline_political_participation,wvs_agg_online_political_participation,wvs_agg_outgroup_trust,wvs_agg_perceived_corruption,wvs_agg_perceived_negative_effects_of_immigration,wvs_agg_perceived_positive_effects_of_immigration,wvs_agg_political_information_sources,wvs_agg_postmaterialist_values,wvs_agg_precautionary_security_behaviors,wvs_agg_religion_versus_secularism_orientation,wvs_agg_religious_belief,wvs_agg_religious_exclusivism,wvs_agg_religious_practice_and_self_identification,wvs_agg_science_skepticism,wvs_agg_science_technology_optimism,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_socioeconomic_insecurity_worry,wvs_agg_subjective_wellbeing,wvs_agg_violence_tolerance,wvs_agg_voluntary_association_active_membership,wvs_agg_voluntary_association_belonging,wvs_agg_voting_participation,wvs_agg_work_ethic
1.0,19-24,5.0,4.0,9.0,10.0,7.0,1.9999999999999998,4.0,3.25,7.0,6.0,1.9999999999999998,3.4,4.75,1.0,2.8,5.5,6.75,4.214285714285714,1.0,3.25,2.8,1.0,4.75,10.0,1.0,10.0,4.0,2.8,2.8,6.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,7.75,6.625,2.5,1.0,1.0,2.0,7.0,2.7142857142857144,6.0,5.666666666666668,6.0,1.0,4.857142857142858,10.0,7.0,5.0,6.0,6.25,6.25,1.0,3.25
2.0,25-34,3.0,4.0,5.5,6.3999999999999995,7.0,4.0,4.0,7.75,1.0,1.0,5.0,3.8,6.625,1.0,1.0,8.2,4.75,2.2857142857142856,1.9999999999999998,1.0,8.2,1.0,4.0,10.0,4.6,8.5,1.0,2.8,2.8,1.0,1.0,8.8,1.0,1.0,4.0,1.0,5.5,6.625,4.375,5.5,4.0,10.0,2.8,7.0,2.2857142857142856,3.5,10.0,1.0,1.0,2.285714285714285,5.5,4.0,4.333333333333333,1.0,1.75,1.75,10.0,2.5
2.0,25-34,3.0,4.0,9.0,2.8,3.25,4.0,4.0,5.5,4.0,1.4,4.0,4.200000000000001,4.0,1.0,4.6,3.5199999999999996,4.5,4.214285714285714,1.0,1.0,8.2,5.5,5.5,10.0,4.6,8.5,1.0,2.8,8.2,2.0,4.6,8.2,4.375,3.25,7.0,1.0,1.0,10.0,1.0,4.0,4.0,10.0,2.0,1.0,1.6428571428571428,6.0,7.333333333333334,1.25,10.0,8.714285714285715,5.5,2.5,4.0,2.5,1.75,1.75,1.0,1.0
1.0,25-34,3.0,4.0,7.0,1.9,2.5,5.999999999999999,7.0,5.5,1.0,1.0,4.0,3.4,4.0,1.0,4.6,5.5,5.0,6.142857142857143,1.0,1.0,1.0,1.0,3.25,10.0,6.3999999999999995,5.5,4.0,8.2,2.8,1.0,6.3999999999999995,7.6000000000000005,1.0,1.0,7.0,2.125,1.0,10.0,2.125,2.5,7.0,10.0,2.8,1.0,1.0,10.0,2.6666666666666665,1.0,1.0,7.428571428571428,5.5,1.0,4.666666666666667,1.0,5.5,5.5,1.0,3.25
1.0,45-54,3.0,4.0,7.0,5.5,7.0,5.999999999999999,4.0,7.75,1.0,3.0,5.999999999999999,5.4,5.875,1.0,2.8,5.5,3.75,4.000000000000001,3.0,3.25,2.8,5.5,4.0,10.0,8.2,10.0,4.0,2.8,2.8,3.0,10.0,9.399999999999999,5.5,1.0,4.75,1.0,1.0,10.0,5.5,8.5,1.0,10.0,2.8,4.0,1.4285714285714284,6.0,9.0,2.5,1.0,7.428571428571428,5.5,2.5,4.666666666666667,1.0,2.5,2.5,2.5,3.25
2.0,35-44,3.0,4.0,5.999999999999999,10.0,7.75,5.0,7.0,5.5,1.0,10.0,3.0,2.3999999999999995,2.5,1.0,2.8,5.68,6.5,3.571428571428572,5.999999999999999,3.25,2.8,1.0,2.5,10.0,4.6,10.0,4.0,1.0,8.2,1.0,1.0,9.399999999999999,1.0,1.0,2.5,2.125,1.0,7.75,1.0,5.5,4.0,10.0,3.2,10.0,2.9285714285714284,7.0,6.666666666666667,5.5,1.0,2.285714285714285,1.0,2.5,3.6666666666666665,1.0,4.75,4.75,,1.7499999999999998
1.0,25-34,3.0,4.0,9.0,2.8,2.5,1.0,4.0,3.25,7.0,1.0,3.0,3.8,2.5,1.0,2.8,2.62,6.0,4.985714285714287,1.0,7.75,8.2,1.0,1.75,10.0,6.3999999999999995,7.0,4.0,2.8,1.0,1.0,10.0,6.3999999999999995,3.25,3.25,1.0,4.375,10.0,3.25,5.5,8.5,4.0,5.5,1.2,2.5,7.000000000000001,5.5,1.6666666666666667,1.0,1.0,7.428571428571428,1.0,2.5,6.0,1.0,1.75,1.75,1.0,4.0
1.0,25-34,3.0,4.0,7.0,1.9,2.5,5.999999999999999,7.0,5.5,1.0,2.2,5.0,3.6,3.625,1.0,2.8,2.44,4.75,4.214285714285714,4.0,1.0,1.0,5.5,2.5,10.0,6.3999999999999995,4.0,4.0,2.8,1.0,3.0,4.6,1.5999999999999999,4.375,7.75,7.0,2.125,1.0,5.5,4.375,5.5,7.0,10.0,2.4,7.0,3.571428571428571,2.0,2.3333333333333335,2.25,1.0,7.428571428571428,5.5,4.0,4.0,2.75,5.5,5.5,2.5,2.5
1.0,65+,,4.0,7.0,10.0,7.75,5.0,7.0,5.5,1.0,1.0,4.0,4.0,4.0,1.0,4.6,7.119999999999999,5.5,6.9142857142857155,1.0,1.0,8.2,1.0,4.75,10.0,4.6,7.0,4.0,2.8,8.2,1.0,4.6,7.0,2.125,1.0,7.0,2.125,1.0,3.25,6.625,2.5,1.0,10.0,2.0,1.0,1.4285714285714284,1.0,10.0,1.0,1.0,6.142857142857142,5.5,1.0,4.333333333333333,1.0,4.75,4.75,1.0,2.5
2.0,25-34,3.0,4.0,5.999999999999999,10.0,6.25,5.0,7.0,5.5,1.0,10.0,1.9999999999999998,3.2,3.625,1.0,2.8,6.3999999999999995,6.5,4.214285714285714,3.0,1.0,2.8,1.0,2.5,10.0,8.2,10.0,4.0,1.0,8.2,3.333333333333334,1.0,9.399999999999999,1.0,1.0,2.5,2.125,1.0,7.75,2.125,7.0,4.0,10.0,4.666666666666667,10.0,2.2857142857142856,8.0,8.0,5.25,1.0,2.285714285714285,1.0,2.5,4.333333333333333,3.0,4.0,4.0,2.5,1.7499999999999998
1.0,45-54,2.0,4.0,7.0,10.0,4.0,5.0,4.0,3.25,7.0,1.0,1.0,1.2,4.0,1.0,2.8,10.0,5.5,4.214285714285714,1.0,5.5,1.0,5.5,4.0,10.0,6.3999999999999995,8.5,4.0,1.0,2.8,1.0,1.0,10.0,4.375,3.25,3.25,2.125,1.0,3.25,2.125,8.5,4.0,5.5,2.8,2.5,2.2857142857142856,1.0,4.0,1.0,1.0,3.571428571428572,1.0,4.0,4.333333333333333,1.0,2.5,2.5,1.0,2.5
1.0,25-34,5.0,4.0,9.0,2.8,2.5,10.0,7.0,5.5,4.0,1.4,1.9999999999999998,3.4,3.625,1.0,1.0,2.9800000000000004,2.75,3.8285714285714283,1.0,1.0,1.0,1.0,2.5,10.0,2.8,1.0,7.0,2.8,2.8,1.6666666666666667,6.3999999999999995,3.4,5.5,5.5,7.0,6.625,5.5,3.25,4.375,5.5,4.0,10.0,1.4,2.5,3.142857142857143,1.5,2.3333333333333335,1.25,10.0,8.714285714285715,5.5,2.5,3.6666666666666665,1.0,4.0,4.0,2.5,3.25
1.0,19-24,5.0,4.0,10.0,2.8,1.75,8.0,7.0,3.25,7.0,1.8,5.0,3.6,1.375,10.0,4.6,2.26,1.5,4.985714285714287,1.9999999999999998,5.5,8.2,5.5,3.25,10.0,4.6,4.0,4.0,1.0,2.8,2.3333333333333335,8.2,3.4,5.5,5.5,5.5,4.375,7.75,5.5,5.5,4.0,7.0,10.0,1.2,4.0,1.4285714285714284,2.0,1.0,3.0,10.0,8.714285714285715,5.5,2.5,1.0,1.25,3.25,3.25,1.0,4.75
2.0,25-34,5.0,4.0,8.0,2.8,2.5,8.0,7.0,3.25,7.0,1.8,4.0,4.8,4.0,10.0,1.0,2.8,5.0,3.8285714285714283,4.0,5.5,8.2,1.0,3.25,10.0,2.8,2.5,10.0,2.8,2.8,1.6666666666666667,4.6,2.1999999999999997,8.875,5.5,7.0,3.25,5.5,3.25,4.375,5.5,7.0,1.0,1.8,5.5,1.4285714285714284,2.5,3.0,1.5,1.0,10.0,10.0,2.5,2.6666666666666665,1.25,4.75,4.75,1.0,4.0
1.0,25-34,3.0,4.0,7.0,4.6,2.5,8.0,7.0,3.25,4.0,1.0,3.0,4.0,5.125,10.0,2.8,3.6999999999999997,5.75,4.214285714285714,1.9999999999999998,5.5,2.8,10.0,1.0,10.0,1.0,1.0,4.0,1.0,2.8,1.3333333333333333,1.0,1.0,5.5,3.25,6.25,4.375,10.0,1.0,5.5,5.5,7.0,1.0,1.6,1.0,1.0,1.0,2.0,1.25,1.0,10.0,1.0,2.5,1.0,3.0,5.5,5.5,4.0,4.75
2.0,19-24,3.0,4.0,8.0,2.8,1.75,1.0,7.0,5.5,1.0,1.4,3.0,2.3999999999999995,1.75,5.5,2.8,2.08,4.75,4.6000000000000005,1.9999999999999998,1.0,1.0,5.5,1.75,10.0,4.6,4.0,1.0,1.0,1.0,4.333333333333333,4.6,2.8000000000000003,3.25,1.0,8.5,3.25,10.0,1.0,3.25,7.0,4.0,1.0,2.2,2.5,1.0,2.0,2.6666666666666665,3.0,10.0,8.714285714285715,1.0,4.0,2.6666666666666665,4.25,5.5,5.5,4.0,1.0
2.0,25-34,3.0,4.0,9.0,2.8,1.75,8.0,7.0,5.5,1.0,1.6,1.9999999999999998,5.4,6.25,10.0,2.8,2.62,3.75,4.985714285714287,1.9999999999999998,1.0,1.0,10.0,3.25,10.0,4.6,2.5,1.0,1.0,2.8,2.0,6.3999999999999995,2.8000000000000003,4.375,5.5,7.75,5.5,10.0,1.0,6.625,4.0,10.0,1.0,1.6,2.5,2.2857142857142856,2.0,2.3333333333333335,1.5,1.0,10.0,5.5,5.5,3.333333333333334,1.25,4.75,4.75,1.0,2.5
1.0,25-34,3.0,4.0,9.0,5.5,3.25,9.0,7.0,5.5,1.0,1.4,7.0,4.200000000000001,4.375,10.0,1.0,4.78,5.75,4.214285714285714,1.9999999999999998,5.5,2.8,10.0,2.5,10.0,2.8,4.0,7.0,8.2,8.2,1.6666666666666667,2.8,4.0,6.625,1.0,10.0,4.375,10.0,1.0,10.0,4.0,10.0,10.0,2.0,2.5,1.4285714285714284,1.0,2.3333333333333335,2.25,1.0,10.0,1.0,4.0,1.0,1.5,5.5,5.5,4.0,4.75
1.0,25-34,3.0,4.0,5.0,5.5,4.75,5.0,4.0,7.75,1.0,5.2,3.0,2.6000000000000005,7.375,1.0,2.8,4.78,4.75,4.985714285714287,1.9999999999999998,5.5,8.2,1.0,7.75,10.0,1.0,2.5,1.0,2.8,8.2,4.333333333333333,2.8,4.0,2.125,1.0,8.5,2.125,3.25,3.25,2.125,4.0,1.0,10.0,2.2,4.0,4.428571428571429,6.5,5.333333333333333,5.75,1.0,10.0,1.0,5.5,3.333333333333334,4.5,4.75,4.75,4.0,5.5
1.0,19-24,3.0,4.0,10.0,1.9,1.75,3.0,7.0,3.25,7.0,1.0,3.0,2.1999999999999997,5.875,1.0,10.0,1.9,1.75,4.214285714285714,4.0,1.0,1.0,5.5,2.5,10.0,8.2,10.0,4.0,1.0,1.0,1.0,4.6,10.0,10.0,10.0,7.0,1.0,10.0,3.25,10.0,7.0,10.0,1.0,1.2,4.0,1.0,1.0,1.0,1.0,10.0,8.714285714285715,5.5,1.0,7.0,1.0,4.75,4.75,1.0,3.25
2.0,19-24,5.0,4.0,8.0,1.9,2.5,10.0,4.0,3.25,7.0,2.2,1.9999999999999998,4.200000000000001,4.375,10.0,4.6,2.26,5.25,3.8285714285714283,1.9999999999999998,3.25,1.0,1.0,4.0,10.0,2.8,1.0,7.0,2.8,1.0,1.3333333333333333,2.8,2.1999999999999997,4.375,5.5,10.0,5.5,7.75,5.5,10.0,7.0,4.0,10.0,2.0,2.5,4.428571428571429,2.5,2.3333333333333335,1.75,10.0,8.714285714285715,1.0,2.5,1.3333333333333333,2.75,7.0,7.0,1.0,2.5
1.0,19-24,3.0,4.0,8.0,2.8,5.5,4.0,4.0,5.5,4.0,1.6,5.999999999999999,3.6,4.75,5.5,2.8,3.6999999999999997,5.5,3.442857142857142,10.0,1.0,8.2,1.0,4.0,10.0,4.6,5.5,4.0,2.8,8.2,1.0,1.0,5.199999999999999,6.625,1.0,2.5,3.25,3.25,5.5,8.875,5.5,1.0,10.0,2.8,5.5,2.7142857142857144,1.0,4.0,1.0,1.0,4.857142857142858,1.0,2.5,6.666666666666667,1.0,7.75,7.75,4.0,2.5
1.0,19-24,3.0,4.0,5.0,6.3999999999999995,4.0,1.0,4.0,5.5,7.0,1.0,3.0,2.6000000000000005,3.625,1.0,4.6,6.3999999999999995,5.25,5.371428571428571,1.9999999999999998,1.0,2.8,1.0,4.0,10.0,2.8,8.5,1.0,1.0,2.8,1.0,1.0,9.399999999999999,1.0,1.0,2.5,5.5,1.0,5.5,6.625,8.5,7.0,1.0,2.8,2.5,2.7142857142857144,5.0,5.0,1.0,1.0,6.142857142857142,5.5,5.5,5.333333333333333,1.0,4.0,4.0,7.0,3.25
2.0,25-34,5.0,4.0,8.0,4.6,1.75,1.0,7.0,5.5,1.0,4.6,1.9999999999999998,3.4,1.75,10.0,2.8,5.5,1.0,7.3,1.0,1.0,1.0,10.0,7.75,10.0,6.3999999999999995,10.0,4.0,8.2,8.2,4.0,2.8,8.2,1.0,1.0,4.75,3.25,1.0,5.5,6.625,7.0,4.0,5.5,2.8,5.5,2.2857142857142856,1.0,7.0,3.25,1.0,4.857142857142858,5.5,1.0,7.333333333333334,1.0,1.0,1.0,1.0,1.7499999999999998
1.0,55-64,3.0,4.0,8.0,1.9,8.5,1.9999999999999998,7.0,5.5,1.0,5.0,1.9999999999999998,2.909090909090909,2.5,1.0,4.6,5.5,5.5,7.685714285714286,1.0,1.0,8.2,10.0,6.25,10.0,4.6,4.0,1.0,1.0,8.2,4.666666666666667,6.3999999999999995,6.3999999999999995,1.0,1.0,6.25,1.0,1.0,5.5,3.25,1.0,4.0,10.0,2.0,4.0,4.0,1.0,10.0,2.0,1.0,6.142857142857142,5.5,5.5,7.333333333333334,2.0,4.0,4.0,4.0,1.0
2.0,55-64,3.0,4.0,8.0,6.3999999999999995,8.5,4.0,1.0,5.5,7.0,5.2,5.0,3.2,7.0,1.0,1.0,6.3999999999999995,3.75,6.142857142857143,1.0,1.0,8.2,1.0,7.0,10.0,2.8,8.5,1.0,1.0,8.2,6.333333333333333,2.8,8.2,2.125,1.0,4.0,4.375,1.0,5.5,2.125,2.5,4.0,10.0,3.0,4.0,3.142857142857143,1.0,10.0,4.0,1.0,7.428571428571428,1.0,4.0,5.666666666666668,2.0,1.0,1.0,1.0,1.0
1.0,55-64,3.0,4.0,7.0,5.5,7.75,5.0,7.0,5.5,1.0,2.8,3.0,3.6,5.125,1.0,2.8,6.76,5.0,8.842857142857143,1.0,1.0,8.2,5.5,7.0,10.0,4.6,10.0,4.0,1.0,2.8,1.0,10.0,9.399999999999999,1.0,1.0,6.25,4.375,6.625,3.25,4.375,2.5,1.0,5.5,2.8,7.0,4.0,6.0,8.0,1.0,1.0,6.142857142857142,5.5,4.0,4.0,1.0,2.5,2.5,1.0,3.25
1.0,19-24,3.0,4.0,7.0,6.3999999999999995,9.25,3.0,7.0,3.25,4.0,7.75,7.0,7.0,6.25,1.0,4.6,5.5,5.75,3.938775510204081,1.0,1.0,2.8,1.0,9.25,10.0,8.2,10.0,1.0,1.0,8.2,1.0,4.6,10.0,1.0,1.0,4.0,1.0,5.5,3.25,4.375,5.5,7.0,5.5,2.2,5.5,1.0,8.0,8.666666666666666,3.25,1.0,6.142857142857142,1.0,10.0,4.0,1.0,2.5,2.5,1.0,2.5
1.0,35-44,3.0,4.0,7.0,5.5,7.75,5.0,7.0,5.5,1.0,2.8,3.0,1.9999999999999998,1.375,1.0,2.8,8.379999999999999,5.75,8.842857142857143,3.0,1.0,2.8,5.5,6.25,10.0,2.8,10.0,4.0,2.8,2.8,1.0,10.0,8.8,1.0,1.0,6.25,4.375,3.25,5.5,1.0,2.5,1.0,10.0,2.8,7.0,3.571428571428571,6.0,8.666666666666666,1.0,1.0,4.857142857142858,5.5,4.0,4.666666666666667,1.0,1.75,1.75,1.0,1.7499999999999998
2.0,45-54,3.0,4.0,7.0,1.0,4.0,7.0,4.0,5.5,4.0,3.25,3.0,2.3999999999999995,4.0,1.0,2.8,4.6,4.5,5.757142857142857,1.0,1.0,2.8,1.0,7.0,10.0,10.0,10.0,1.0,1.0,2.8,1.0,2.8,10.0,5.5,1.0,4.75,7.75,1.0,7.75,3.25,5.5,1.0,10.0,2.8,5.5,7.000000000000001,5.0,10.0,1.0,1.0,6.142857142857142,1.0,4.0,5.0,1.0,1.75,1.75,1.0,2.5
2.0,19-24,5.0,4.0,7.0,6.3999999999999995,6.25,1.9999999999999998,7.0,5.5,4.0,3.4,4.0,4.6000000000000005,4.0,1.0,2.8,7.119999999999999,6.25,8.457142857142859,1.9999999999999998,1.0,8.2,10.0,7.75,10.0,4.6,10.0,4.0,8.2,8.2,3.6666666666666665,1.0,8.8,1.0,1.0,3.25,1.0,6.625,1.0,6.625,1.0,7.0,5.5,2.8,1.0,2.2857142857142856,5.5,8.666666666666666,1.0,1.0,7.428571428571428,10.0,5.5,5.0,1.5,1.0,1.0,4.0,4.75
2.0,65+,5.0,4.0,8.0,9.1,7.75,1.0,4.0,7.75,4.0,4.6,4.0,3.0,7.0,1.0,4.6,6.22,5.0,8.842857142857143,10.0,1.0,2.8,1.0,7.0,10.0,8.2,10.0,1.0,8.2,2.8,1.0,10.0,10.0,1.0,1.0,7.0,4.375,3.25,6.625,7.75,5.5,7.0,5.5,2.8,4.0,2.2857142857142856,4.5,10.0,1.0,1.0,4.857142857142858,5.5,1.0,6.666666666666667,1.0,1.0,1.0,4.0,4.0
1.0,25-34,5.0,4.0,8.0,8.2,7.75,4.0,7.0,5.5,1.0,2.4,5.0,3.6,4.375,1.0,1.0,7.119999999999999,7.0,4.214285714285714,10.0,1.0,1.0,5.5,4.75,10.0,4.6,8.5,7.0,2.8,8.2,1.0,6.3999999999999995,9.399999999999999,1.0,1.0,6.25,1.0,1.0,2.125,4.375,5.5,1.0,1.0,2.8,1.0,2.2857142857142856,1.0,3.6666666666666665,1.0,1.0,10.0,5.5,5.5,6.333333333333333,1.0,1.0,1.0,4.0,2.5
1.0,19-24,3.0,4.0,8.0,2.8,5.5,3.0,7.0,5.5,1.0,4.2,5.0,5.0,3.25,1.0,2.8,4.06,2.5,4.214285714285714,1.9999999999999998,3.25,1.0,5.5,2.5,10.0,6.3999999999999995,5.5,1.0,8.2,1.0,3.6666666666666665,2.8,6.3999999999999995,2.125,5.5,3.25,1.0,7.75,3.25,6.625,5.5,4.0,1.0,2.8,5.5,1.4285714285714284,6.5,7.0,2.25,1.0,8.714285714285715,1.0,5.5,6.0,3.5,4.75,4.75,2.5,3.25
2.0,35-44,5.0,4.0,8.0,1.9,7.0,1.0,7.0,5.5,1.0,1.0,1.9999999999999998,2.8000000000000003,6.25,1.0,4.6,5.5,5.5,10.0,4.0,3.25,8.2,10.0,4.0,10.0,8.2,10.0,1.0,1.0,2.8,1.0,10.0,10.0,1.0,1.0,1.0,2.125,4.375,7.75,5.5,2.5,7.0,1.0,2.8,4.0,,5.5,10.0,1.0,1.0,7.428571428571428,5.5,7.0,5.5,1.0,1.0,1.0,1.0,3.25
1.0,19-24,5.0,4.0,8.0,,7.0,1.9999999999999998,4.0,5.5,7.0,4.6,5.0,5.199999999999999,4.375,1.0,2.8,7.3,2.5,4.6000000000000005,4.0,1.0,2.8,5.5,5.0,10.0,2.8,10.0,4.0,8.2,8.2,5.5,6.3999999999999995,7.75,1.0,1.0,4.0,1.0,2.125,5.5,4.375,5.5,4.0,,2.8,1.0,2.2857142857142856,2.5,4.0,1.0,1.0,7.428571428571428,1.0,4.0,5.333333333333333,10.0,1.75,1.75,1.0,4.75
2.0,35-44,5.0,4.0,8.0,3.6999999999999997,10.0,1.0,7.0,3.25,4.0,2.8,,2.3999999999999995,,1.0,4.6,6.625,3.75,6.571428571428571,10.0,1.0,1.0,5.5,5.5,10.0,6.3999999999999995,10.0,4.0,2.8,2.8,1.0,6.3999999999999995,10.0,2.125,1.0,3.25,8.875,4.375,5.5,6.625,4.0,7.0,1.0,2.8,2.5,1.0,4.5,7.666666666666667,1.0,1.0,8.714285714285715,5.5,5.5,6.0,1.0,1.75,1.75,1.0,3.25
2.0,35-44,5.0,4.0,5.0,9.1,7.0,1.9999999999999998,7.0,5.5,1.0,1.0,4.0,3.2,4.0,1.0,2.8,6.22,6.0,7.000000000000001,4.0,1.0,8.2,1.0,7.75,10.0,6.3999999999999995,7.0,1.0,2.8,2.8,1.0,10.0,7.0,1.0,1.0,2.5,2.125,1.0,10.0,10.0,4.0,7.0,5.5,2.8,4.0,2.2857142857142856,1.0,5.666666666666668,1.0,1.0,7.428571428571428,5.5,4.0,2.0,1.0,1.0,1.0,1.0,2.5
2.0,25-34,5.0,4.0,9.0,3.6999999999999997,7.75,1.0,7.0,5.5,1.0,2.8,,2.090909090909091,,1.0,4.6,4.78,3.0,7.3,3.0,3.25,2.8,5.5,6.25,10.0,6.3999999999999995,10.0,1.0,2.8,8.2,1.0,10.0,10.0,2.125,1.0,2.5,6.625,1.0,4.375,7.75,2.5,4.0,1.0,2.8,1.0,1.0,3.5,9.666666666666666,1.0,1.0,7.428571428571428,5.5,7.0,5.0,1.0,1.0,1.0,2.5,4.0
2.0,25-34,5.0,4.0,8.0,4.6,8.5,1.0,4.0,5.5,4.0,3.0,4.0,2.3999999999999995,4.375,1.0,4.6,4.78,4.25,7.685714285714286,4.0,1.0,1.0,5.5,3.25,10.0,4.6,10.0,4.0,1.0,8.2,1.6666666666666667,10.0,8.8,1.0,1.0,6.25,5.5,1.0,2.125,8.875,2.5,7.0,5.5,3.0,4.0,1.0,5.0,10.0,3.5,1.0,6.142857142857142,5.5,5.5,5.5,1.25,1.0,1.0,1.0,1.0
1.0,25-34,5.0,4.0,3.0,3.6999999999999997,4.0,1.0,7.0,3.25,4.0,6.0,5.999999999999999,4.6000000000000005,5.5,1.0,2.8,6.039999999999999,9.75,4.6000000000000005,1.9999999999999998,1.0,2.8,,5.5,10.0,4.6,5.5,1.0,2.8,1.0,7.0,10.0,7.6000000000000005,1.0,1.0,5.5,3.25,3.25,5.5,2.125,4.0,1.0,,2.6,2.5,4.214285714285714,10.0,10.0,7.5,1.0,4.857142857142858,10.0,4.0,7.0,8.0,2.5,2.5,7.0,3.25
1.0,19-24,3.0,4.0,4.0,2.8,7.75,1.0,4.0,7.75,4.0,2.8,1.9999999999999998,3.6,1.0,1.0,4.6,6.3999999999999995,4.75,7.3,10.0,3.25,2.8,1.0,3.25,10.0,2.8,10.0,7.0,2.8,8.2,1.0,10.0,10.0,1.0,1.0,4.75,3.25,7.75,5.5,6.625,5.5,1.0,1.0,2.8,1.0,2.7142857142857144,4.5,10.0,1.0,1.0,10.0,5.5,4.0,6.0,1.0,1.0,1.0,1.0,3.25
2.0,25-34,5.0,4.0,8.0,1.9,6.25,4.0,4.0,5.5,4.0,2.8,4.0,5.0,4.0,1.0,4.6,6.3999999999999995,6.25,8.842857142857143,4.0,1.0,8.2,1.0,6.25,10.0,4.6,8.5,1.0,2.8,2.8,1.0,10.0,7.0,1.0,1.0,2.5,1.0,2.125,5.5,8.875,5.5,7.0,10.0,1.8,4.0,1.6428571428571428,5.5,10.0,1.0,1.0,7.428571428571428,10.0,1.0,6.333333333333333,1.0,1.0,1.0,1.0,3.25
2.0,35-44,3.0,4.0,9.0,3.6999999999999997,1.0,1.9999999999999998,7.0,5.5,4.0,4.8,4.0,2.3999999999999995,7.0,1.0,4.6,5.5,5.5,9.035714285714285,5.999999999999999,1.0,1.0,10.0,3.25,10.0,8.2,10.0,4.0,1.0,2.8,4.333333333333333,8.2,8.8,4.375,5.5,1.0,5.5,5.5,2.125,6.625,5.5,7.0,1.0,2.8,2.5,2.2857142857142856,5.0,10.0,1.0,1.0,3.571428571428572,5.5,5.5,5.333333333333333,1.25,1.75,1.75,1.0,1.0
2.0,19-24,3.0,4.0,7.0,5.5,5.5,1.0,4.0,5.5,4.0,4.6,3.0,1.2,,1.0,1.0,6.76,5.75,6.5285714285714285,10.0,1.0,8.2,5.5,7.0,10.0,6.3999999999999995,8.5,1.0,8.2,2.8,2.3333333333333335,2.8,7.75,1.0,3.25,4.0,3.25,3.25,3.25,4.375,5.5,10.0,10.0,5.5,4.0,3.142857142857143,4.5,8.666666666666666,1.0,1.0,6.142857142857142,5.5,7.0,4.0,1.0,1.0,1.0,5.5,6.25
1.0,35-44,5.0,4.0,9.0,1.9,10.0,3.0,7.0,5.5,1.0,2.8,1.0,1.9999999999999998,1.0,1.0,4.6,5.86,7.75,10.0,8.0,3.25,2.8,10.0,5.5,10.0,8.2,8.5,1.0,8.2,2.8,1.0,10.0,10.0,3.25,1.0,5.5,6.625,1.0,5.5,6.625,5.5,4.0,10.0,2.8,2.5,3.142857142857143,1.0,10.0,1.0,1.0,6.142857142857142,5.5,4.0,6.333333333333333,1.0,2.5,2.5,1.0,2.5
1.0,35-44,3.0,4.0,5.999999999999999,3.6999999999999997,7.75,4.0,7.0,5.5,1.0,3.0,5.0,3.0,7.0,1.0,4.6,7.75,5.5,8.457142857142859,1.0,3.25,2.8,10.0,4.75,10.0,8.2,7.0,4.0,1.0,8.2,1.0,10.0,7.0,1.0,1.0,4.0,8.875,1.0,10.0,10.0,4.0,7.0,5.5,2.8,4.0,1.8571428571428572,5.0,10.0,1.0,1.0,8.714285714285715,10.0,4.0,1.0,1.0,1.75,1.75,1.0,1.7499999999999998
1.0,25-34,3.0,4.0,8.0,6.3999999999999995,4.75,1.9999999999999998,4.0,7.75,4.0,2.5,4.0,2.8000000000000003,4.75,5.5,1.0,6.58,4.5,6.5285714285714285,1.9999999999999998,1.0,8.2,5.5,2.5,10.0,4.6,4.0,1.0,1.0,1.0,2.3333333333333335,4.6,3.4,4.375,3.25,7.75,4.375,7.75,5.5,2.125,5.5,4.0,10.0,2.6666666666666665,5.5,1.4285714285714284,1.5,2.0,6.5,10.0,8.714285714285715,1.0,4.0,2.5,4.5,4.75,4.75,4.0,1.0
